stamp,brk_pressure_cmd_counter,f_brake_pressure_cmd,r_brake_pressure_cmd
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=522921682)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=532929780)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=542828888)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=552953787)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=563008383)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=573123985)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=582990808)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=592992350)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=603009457)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=612966886)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622889109)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=632889675)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=643022215)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=653327499)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=663002404)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=672879267)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=683043756)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694313581)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=702954911)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712883107)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=722900270)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=732920092)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=742945351)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=752907673)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=762869622)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=773058491)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=782923984)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=793003274)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=803098581)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=813020404)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=822892464)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=832933618)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=842869358)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=852998930)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=862858953)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=873081306)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=883030578)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=893008872)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=902880126)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=913251993)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=923033187)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=932997333)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=942890341)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=952876336)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=963255241)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=972940714)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=982852433)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=992868422)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=2979566)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=12995440)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=23045274)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=32923489)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=42892502)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=52943726)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=62933996)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=72944666)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=83324951)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=93057218)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=102988742)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=113012351)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=123012001)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=133075877)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=143027795)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=152927979)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=163091014)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=173019619)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=182903073)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=192871432)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=202917387)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=213017513)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=222920338)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=234028034)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=242883567)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=252892619)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=263086499)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=273071347)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=282946119)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=293004051)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=303015682)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=312919647)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=322903096)",3,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=332927131)",4,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=343019412)",5,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=353042354)",6,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=363067170)",7,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=372983678)",0,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=382906997)",1,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=393090429)",2,0,0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=403037437)",3,0,0
