stamp,battery_voltage,safety_switch_state,mode_switch_state,sys_state,raptor_rolling_counter
"builtin_interfaces.msg.Time(sec=1751477633, nanosec=946458523)",13.9,4,False,9,203
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=142959899)",13.9,4,False,9,223
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=342962265)",13.9,4,False,9,243
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=742876979)",13.9,4,False,9,27
"builtin_interfaces.msg.Time(sec=1751477634, nanosec=942968024)",13.9,4,False,9,47
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=142931335)",13.9,4,False,9,67
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=342955268)",13.9,4,False,9,87
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=542872279)",13.9,4,False,9,107
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=742924453)",13.9,4,False,9,127
"builtin_interfaces.msg.Time(sec=1751477635, nanosec=942910528)",13.9,4,False,9,147
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=142957573)",13.9,4,False,9,167
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=345393732)",13.9,4,False,9,187
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=542899482)",13.9,4,False,9,207
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=743958063)",13.9,4,False,9,227
"builtin_interfaces.msg.Time(sec=1751477636, nanosec=943766311)",13.9,4,False,9,247
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=142922697)",13.9,4,False,9,11
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=343776629)",13.9,4,False,9,31
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=542995984)",13.9,4,False,9,51
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=742841041)",13.9,4,False,9,71
"builtin_interfaces.msg.Time(sec=1751477637, nanosec=942910695)",13.9,4,False,9,91
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=142910661)",13.9,4,False,9,111
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=343792841)",13.9,4,False,9,131
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=543810707)",13.9,4,False,9,151
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=743783164)",13.9,4,False,9,171
"builtin_interfaces.msg.Time(sec=1751477638, nanosec=944299037)",13.9,4,False,9,191
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=144238617)",13.9,4,False,9,211
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=343762889)",13.9,4,False,9,231
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=543778466)",13.9,4,False,9,251
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=745675369)",13.9,4,False,9,15
"builtin_interfaces.msg.Time(sec=1751477639, nanosec=943806374)",13.9,4,False,9,35
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=150431475)",13.9,4,False,9,55
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=343823878)",13.9,4,False,9,75
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=544553867)",13.9,4,False,9,95
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=743930021)",13.9,4,False,9,115
"builtin_interfaces.msg.Time(sec=1751477640, nanosec=943838035)",13.9,4,False,9,135
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=143779117)",13.9,4,False,9,155
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=343797095)",13.9,4,False,9,175
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=543847772)",13.9,4,False,9,195
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=744087680)",13.9,4,False,9,215
"builtin_interfaces.msg.Time(sec=1751477641, nanosec=943827393)",13.9,4,False,9,235
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=143818632)",13.9,4,False,9,255
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=343937904)",13.9,4,False,9,19
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=543902070)",13.9,4,False,9,39
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=743843940)",13.9,4,False,9,59
"builtin_interfaces.msg.Time(sec=1751477642, nanosec=943882533)",13.9,4,False,9,79
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=143845113)",13.9,4,False,9,99
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=343833844)",13.9,4,False,9,119
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=544137067)",13.9,4,False,9,139
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=743829009)",13.9,4,False,9,159
"builtin_interfaces.msg.Time(sec=1751477643, nanosec=943884139)",13.9,4,False,9,179
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=143817210)",13.9,4,False,9,199
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=343797986)",13.9,4,False,9,219
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=544830687)",13.8,4,False,9,239
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=743878494)",13.8,4,False,9,3
"builtin_interfaces.msg.Time(sec=1751477644, nanosec=943989872)",13.9,4,False,9,23
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=143948221)",13.8,4,False,9,43
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=344982816)",13.9,4,False,9,63
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=543831562)",13.8,4,False,9,83
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=743855649)",13.9,4,False,9,103
"builtin_interfaces.msg.Time(sec=1751477645, nanosec=943888065)",13.9,4,False,9,123
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=144460399)",13.9,4,False,9,143
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=343902466)",13.9,4,False,9,163
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=546298240)",13.9,4,False,9,183
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=743854823)",13.9,4,False,9,203
"builtin_interfaces.msg.Time(sec=1751477646, nanosec=943856025)",13.9,4,False,9,223
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=544253232)",13.9,4,False,9,27
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=744987921)",13.9,4,False,9,47
"builtin_interfaces.msg.Time(sec=1751477647, nanosec=943952420)",13.9,4,False,9,67
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=143880686)",13.8,4,False,9,87
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=343901649)",13.9,4,False,9,107
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=543874371)",13.9,4,False,9,127
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=743889674)",13.9,4,False,9,147
"builtin_interfaces.msg.Time(sec=1751477648, nanosec=943862635)",13.9,4,False,9,167
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=144222630)",13.8,4,False,9,187
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=343892603)",13.8,4,False,9,207
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=543941552)",13.8,4,False,9,227
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=743956605)",13.8,4,False,9,247
"builtin_interfaces.msg.Time(sec=1751477649, nanosec=943884792)",13.8,4,False,9,11
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=143850091)",13.8,4,False,9,31
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=344188967)",13.8,4,False,9,51
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=545377677)",13.8,4,False,9,71
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=743892566)",13.9,4,False,9,91
"builtin_interfaces.msg.Time(sec=1751477650, nanosec=943932419)",13.9,4,False,9,111
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=146306849)",13.8,4,False,9,131
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=343859005)",13.9,4,False,9,151
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=543875446)",13.9,4,False,9,171
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=743900485)",13.8,4,False,9,191
"builtin_interfaces.msg.Time(sec=1751477651, nanosec=943904498)",13.9,4,False,9,211
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=143867005)",13.9,4,False,9,231
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=343900472)",13.8,4,False,9,251
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=544409990)",13.8,4,False,9,15
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=743953483)",13.8,4,False,9,35
"builtin_interfaces.msg.Time(sec=1751477652, nanosec=943913794)",13.8,4,False,9,55
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=143961971)",13.8,4,False,9,75
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=343850991)",13.8,4,False,9,95
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=543852417)",13.8,4,False,9,115
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=744346822)",13.8,4,False,9,135
"builtin_interfaces.msg.Time(sec=1751477653, nanosec=943906784)",13.8,4,False,9,155
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=143859556)",13.8,4,False,9,175
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=343862716)",13.8,4,False,9,195
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=543908783)",13.8,4,False,9,215
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=743848048)",13.8,4,False,9,235
"builtin_interfaces.msg.Time(sec=1751477654, nanosec=944779612)",13.8,4,False,9,255
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=144927329)",13.8,4,False,9,19
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=344757636)",13.8,4,False,9,39
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=544786577)",13.9,4,False,9,59
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=744764825)",13.9,4,False,9,79
"builtin_interfaces.msg.Time(sec=1751477655, nanosec=944945613)",13.9,4,False,9,99
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=146324917)",13.9,4,False,9,119
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=344751256)",13.9,4,False,9,139
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=544812762)",13.9,4,False,9,159
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=746324962)",13.9,4,False,9,179
"builtin_interfaces.msg.Time(sec=1751477656, nanosec=944780960)",13.9,4,False,9,199
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=145494407)",13.8,4,False,9,219
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=344789680)",13.8,4,False,9,239
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=545289111)",13.8,4,False,9,3
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=744892405)",13.8,4,False,9,23
"builtin_interfaces.msg.Time(sec=1751477657, nanosec=944790553)",13.8,4,False,9,43
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=144767737)",13.8,4,False,9,63
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=344795564)",13.8,4,False,9,83
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=544783111)",13.8,4,False,9,103
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=744816672)",13.8,4,False,9,123
"builtin_interfaces.msg.Time(sec=1751477658, nanosec=945022126)",13.8,4,False,9,143
"builtin_interfaces.msg.Time(sec=1751477659, nanosec=144855511)",13.9,4,False,9,163
"builtin_interfaces.msg.Time(sec=1751477659, nanosec=344807147)",13.8,4,False,9,183
"builtin_interfaces.msg.Time(sec=1751477659, nanosec=544793212)",13.8,4,False,9,203
"builtin_interfaces.msg.Time(sec=1751477659, nanosec=744814890)",13.8,4,False,9,223
