stamp,group_fields,insstatus_mode,insstatus_gps_fix,insstatus_time_error,insstatus_imu_error,insstatus_mag_pres_error,insstatus_gps_error,insstatus_gps_heading_ins,insstatus_gps_compass,poslla_x,poslla_y,poslla_z,velbody_x,velbody_y,velbody_z,velned_x,velned_y,velned_z
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=562695688)",779,1,True,False,False,False,False,False,True,36.58709027915328,-121.75588500269122,198.72172141820192,5.79489278793335,-0.6034535765647888,-0.12989819049835205,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=572698504)",779,1,True,False,False,False,False,False,True,36.587089859850096,-121.75588539470544,198.72205881401896,5.79490852355957,-0.597743809223175,-0.1419832408428192,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=582699528)",779,1,True,False,False,False,False,False,True,36.58708944093916,-121.75588578693316,198.72244656598195,5.7900710105896,-0.6015647053718567,-0.12175363302230835,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=592699528)",779,1,True,False,False,False,False,False,True,36.587089022162466,-121.75588617897256,198.72285160701722,5.791606903076172,-0.5949594378471375,-0.13672932982444763,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=602697736)",779,1,True,False,False,False,False,False,True,36.5870886034393,-121.75588657070422,198.72318761236966,5.789844989776611,-0.5987764596939087,-0.1313260793685913,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=612700808)",779,1,True,False,False,False,False,False,True,36.5870881848817,-121.75588696290178,198.7236187965609,5.7878899574279785,-0.5931721925735474,-0.13578498363494873,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=622701832)",779,1,True,False,False,False,False,False,True,36.58708776601217,-121.75588735447688,198.7239774945192,5.791393756866455,-0.595547080039978,-0.14460912346839905,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=632701832)",779,1,True,False,False,False,False,False,True,36.58708734727455,-121.7558877465196,198.72451664041728,5.790495872497559,-0.5938519239425659,-0.1338975429534912,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=642700296)",779,1,True,False,False,False,False,False,True,36.58708692793631,-121.75588813828574,198.72486790688708,5.795910835266113,-0.5925437808036804,-0.14806590974330902,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=652703112)",779,1,True,False,False,False,False,False,True,36.58708650884458,-121.7558885303686,198.725262071006,5.79295539855957,-0.5960652828216553,-0.12627165019512177,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=662704136)",779,1,True,False,False,False,False,False,True,36.587086089705195,-121.7558889223402,198.7256614724174,5.794759750366211,-0.5897399187088013,-0.13167604804039001,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=672704136)",779,1,True,False,False,False,False,False,True,36.58708567077787,-121.75588931403216,198.72591144498438,5.793948650360107,-0.5924332737922668,-0.11677562445402145,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=682703344)",779,1,True,False,False,False,False,False,True,36.58708525180115,-121.75588970638019,198.72614081110805,5.79125452041626,-0.5876316428184509,-0.10649210214614868,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=692705160)",779,1,True,False,False,False,False,False,True,36.587084832747806,-121.75589009775362,198.7262023780495,5.792240619659424,-0.593143880367279,-0.10639779269695282,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=702706184)",779,1,True,False,False,False,False,False,True,36.58708441378121,-121.755890489847,198.7261799350381,5.787564754486084,-0.5935558080673218,-0.08512713015079498,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=712705184)",779,1,True,False,False,False,False,False,True,36.58708397974443,-121.75589093913642,198.7259800909087,5.788931369781494,-0.5896446704864502,-0.10081419348716736,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=722704648)",779,1,True,False,False,False,False,False,True,36.58708356097938,-121.75589133033763,198.72593020973727,5.786773204803467,-0.5899924039840698,-0.08719442784786224,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=732707720)",779,1,True,False,False,False,False,False,True,36.58708314234029,-121.75589172196358,198.72601907281205,5.78944730758667,-0.5783575773239136,-0.10750288516283035,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=742707744)",779,1,True,False,False,False,False,False,True,36.58708272398112,-121.75589211370854,198.7261117710732,5.792464733123779,-0.5793924927711487,-0.11646772176027298,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=752708744)",779,1,True,False,False,False,False,False,True,36.587082305614004,-121.75589250656932,198.72645375831053,5.7923736572265625,-0.5681462287902832,-0.12137307971715927,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=762706976)",779,1,True,False,False,False,False,False,True,36.58708188717665,-121.7558928992515,198.72665811982006,5.79730749130249,-0.5670599937438965,-0.13961178064346313,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=772711048)",779,1,True,False,False,False,False,False,True,36.58708146896148,-121.75589329240324,198.72705592866987,5.793076992034912,-0.5675859451293945,-0.12207074463367462,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=782712072)",779,1,True,False,False,False,False,False,True,36.58708105052418,-121.75589368519302,198.72749087633565,5.794745922088623,-0.5655080080032349,-0.14114728569984436,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=792712072)",779,1,True,False,False,False,False,False,True,36.58708063199809,-121.75589407725506,198.7278317590244,5.789687156677246,-0.5749843120574951,-0.12312398850917816,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=802710536)",779,1,True,False,False,False,False,False,True,36.587080213570765,-121.75589446921649,198.7282369825989,5.788377285003662,-0.5709539651870728,-0.12720683217048645,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=812712352)",779,1,True,False,False,False,False,False,True,36.587079795118505,-121.75589486056617,198.72864687629044,5.788471698760986,-0.5787888169288635,-0.13277322053909302,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=822714632)",779,1,True,False,False,False,False,False,True,36.58707937633926,-121.75589525150748,198.72899010265246,5.785367965698242,-0.5766105055809021,-0.11891398578882217,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=832714632)",779,1,True,False,False,False,False,False,True,36.58707895726241,-121.75589564215849,198.7291643852368,5.789422988891602,-0.5777924656867981,-0.13423705101013184,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=842715656)",779,1,True,False,False,False,False,False,True,36.587078538232426,-121.75589603297948,198.72941518342122,5.7869977951049805,-0.5825086832046509,-0.1123366504907608,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=852715656)",779,1,True,False,False,False,False,False,True,36.58707811889728,-121.75589642342969,198.72968905838206,5.790294647216797,-0.5774217844009399,-0.12444858253002167,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=862714376)",779,1,True,False,False,False,False,False,True,36.58707769964283,-121.75589681379815,198.7298659970984,5.789919853210449,-0.5821636915206909,-0.11535215377807617,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=872717192)",779,1,True,False,False,False,False,False,True,36.58707728055167,-121.75589720467822,198.7301863403991,5.789999961853027,-0.5695188045501709,-0.11227201670408249,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=882718984)",779,1,True,False,False,False,False,False,True,36.587076861453916,-121.75589759586809,198.73026260035113,5.79374885559082,-0.5702528357505798,-0.12463482469320297,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=892718984)",779,1,True,False,False,False,False,False,True,36.58707644268496,-121.7558979875817,198.73047540988773,5.790679454803467,-0.5653529763221741,-0.10269567370414734,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=902716704)",779,1,True,False,False,False,False,False,True,36.58707602384676,-121.75589837876834,198.7306820466183,5.7918524742126465,-0.5613876581192017,-0.12215133011341095,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477619, nanosec=912720520)",779,1,True,False,False,False,False,False,True,36.58707562512253,-121.75589880160977,198.72972433129326,5.788182735443115,-0.565523087978363,-0.1068313866853714,0.0,0.0,0.0
