stamp,fluid_pressure,variance
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=451308424)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=461309960)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=471310472)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=481310728)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=491313056)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=501315592)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=511315848)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=521314824)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=531317152)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=541322248)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=551322760)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=561322248)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=571325576)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=581326112)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=591326624)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=601326344)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=611328672)",0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=621331208)",0.0,0.0
