stamp,source_topic,group_fields,utc_year,utc_month,utc_day,utc_hour,utc_min,utc_sec,utc_ms,tow,week,numsats,fix,poslla_x,poslla_y,poslla_z,velned_x,velned_y,velned_z,dop_g,dop_p,dop_t,dop_v,dop_h,dop_n,dop_e
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=116722486)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322657000292831,0,19,8,36.586685407,-121.753126493,202.4398,12.331000328063965,-9.866000175476074,0.1720000058412552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=116722486)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322656800475602,0,0,8,36.586676182999994,-121.753118617,201.9102,12.003999710083008,-9.751999855041504,0.20200000703334808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=309730435)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322657200292737,0,19,8,36.586708277999996,-121.753148322,202.4044,12.967000007629395,-9.635000228881836,0.13300000131130219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=309730435)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322657000475497,0,0,8,36.586698356,-121.753140244,201.8734,12.51200008392334,-9.623000144958496,0.13099999725818634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=512496460)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322657400292643,0,19,8,36.586732143999996,-121.75316955599999,202.3648,13.522000312805176,-9.442000389099121,0.1899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=512496460)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322657200475391,0,0,8,36.58672150299999,-121.753161397,201.8451,13.100000381469727,-9.418999671936035,0.12800000607967377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=712490918)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322657600292549,0,19,8,36.586756998,-121.75319040199999,202.3391,14.097000122070312,-9.232999801635742,0.11500000208616257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=712490918)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322657400475285,0,0,8,36.58674572099999,-121.75318227899999,201.80610000000001,13.696000099182129,-9.189000129699707,0.12099999934434891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=911842071)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322657800292455,0,19,8,36.586782805,-121.75321069499999,202.3038,14.522000312805176,-8.961999893188477,0.18799999356269836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477839, nanosec=911842071)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322657600475180,0,0,8,36.586770875,-121.753202625,201.7723,14.220999717712402,-8.993000030517578,0.20999999344348907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=116644270)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322658000292361,0,19,8,36.58680901499999,-121.75323008499998,202.2715,14.559000015258789,-8.388999938964844,0.19499999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=116644270)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322657800475074,0,0,8,36.586796995,-121.75322240499999,201.743,14.725000381469727,-8.71399974822998,0.1770000010728836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=321288298)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322658200292267,0,19,8,36.586835148,-121.75324835199999,202.234,14.574000358581543,-8.062999725341797,0.23199999332427979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=321288298)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322658000474968,0,0,8,36.586823468999995,-121.75324133099998,201.7041,14.67300033569336,-8.208999633789062,0.28299999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=512652088)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322658400292173,0,19,8,36.586861591,-121.75326620899999,202.1944,14.777000427246094,-7.888999938964844,0.2160000056028366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=512652088)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322658200474863,0,0,8,36.586849774,-121.753259226,201.666,14.668000221252441,-7.928999900817871,0.2280000001192093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=712621842)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322658600292079,0,19,8,36.586888351,-121.753283849,202.1529,14.909000396728516,-7.817999839782715,0.21899999678134918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=712621842)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322658400474757,0,0,8,36.586876358999994,-121.75327674100001,201.62800000000001,14.86299991607666,-7.816999912261963,0.2529999911785126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=909787537)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322658800291986,0,19,8,36.58691533,-121.75330137,202.1119,15.041000366210938,-7.855999946594238,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477840, nanosec=909787537)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322658600474651,0,0,8,36.586903183,-121.753294117,201.58370000000002,14.91100025177002,-7.750999927520752,0.1720000058412552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=116520978)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322659000291892,0,19,8,36.586942308999994,-121.753318991,202.07770000000002,14.9399995803833,-7.85699987411499,0.17299999296665192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=116520978)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322658800474546,0,0,8,36.586930188,-121.75331161199998,201.5397,15.022000312805176,-7.855000019073486,0.2460000067949295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=313751190)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322659200291798,0,19,8,36.586969200999995,-121.753336499,202.04270000000002,14.873000144958496,-7.817999839782715,0.14300000667572021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=313751190)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322659000474440,0,0,8,36.586957213,-121.75332918699998,201.505,14.972000122070312,-7.894999980926514,0.2160000056028366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=512496213)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322659400291704,0,19,8,36.586995884,-121.753353816,202.0062,14.720999717712402,-7.673999786376953,0.21699999272823334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=512496213)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322659200474334,0,0,8,36.586984113999996,-121.75334668599999,201.4631,14.92199993133545,-7.796000003814697,0.19699999690055847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=712606357)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322659600291610,0,19,8,36.58702262799999,-121.753370772,201.9639,14.947999954223633,-7.603000164031982,0.1899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=712606357)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322659400474229,0,0,8,36.587010806,-121.753363794,201.42600000000002,14.75100040435791,-7.638000011444092,0.2529999911785126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=909826585)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322659800291516,0,19,8,36.587049576999995,-121.753387823,201.9231,15.053000450134277,-7.559999942779541,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477841, nanosec=909826585)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322659600474123,0,0,8,36.587037644,-121.75338075599998,201.3837,14.972000122070312,-7.519000053405762,0.18199999630451202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477842, nanosec=116795553)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322660000291422,0,19,8,36.587076724,-121.753404476,201.88320000000002,15.069999694824219,-7.433000087738037,0.22499999403953552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477842, nanosec=116795553)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322659800474017,0,0,8,36.587064642,-121.75339745799998,201.34220000000002,15.074999809265137,-7.501999855041504,0.22100000083446503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477842, nanosec=309833290)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322660200291328,0,19,8,36.587103907999996,-121.753420992,201.84120000000001,15.055000305175781,-7.322999954223633,0.13300000131130219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477842, nanosec=309833290)",/vectornav/raw/gps2,1722,0,0,0,0,0,0,0,322660000473912,0,0,8,36.587091859,-121.75341414100001,201.2982,15.149999618530273,-7.357999801635742,0.22200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"builtin_interfaces.msg.Time(sec=1751477842, nanosec=516562907)",/vectornav/raw/gps,1722,0,0,0,0,0,0,0,322660400291234,0,19,8,36.587130982,-121.753437318,201.8035,14.98799991607666,-7.251999855041504,0.15800000727176666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
