stamp,fr_tire_temp_04,fr_tire_temp_03,fr_tire_temp_02,fr_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747802342)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747802342)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747802342)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=747802342)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=747841092)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=747841092)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=747841092)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=747841092)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=747841092)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=747859295)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=747859295)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=747859295)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=747859295)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=747859295)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=747804595)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=747804595)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=747804595)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=747804595)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=747804595)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747816462)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747816462)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747816462)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747816462)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747816462)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747815457)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747815457)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747815457)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747815457)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477629, nanosec=747815457)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=748756751)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=748756751)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=748756751)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=748756751)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477630, nanosec=748756751)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747855380)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747855380)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747855380)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747855380)",-100.0,-100.0,-100.0,-100.0
"builtin_interfaces.msg.Time(sec=1751477631, nanosec=747855380)",-100.0,-100.0,-100.0,-100.0
