stamp,source_topic,message_data_length
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=149287339)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=163849163)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=157383220)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=186776006)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=183815356)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=195774131)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=184753368)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=203856820)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=185407565)",/novatel_top/oem7raw,76
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211874728)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=185847678)",/novatel_top/oem7raw,80
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=218856745)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=190805172)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231606855)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=218822423)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=232140534)",/novatel_side/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=220394574)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=244201873)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221371650)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=250947539)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=222296755)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=260399975)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=245895803)",/novatel_top/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=268184746)",/novatel_side/oem7raw,56
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=248421026)",/novatel_top/oem7raw,104
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=280273445)",/novatel_side/oem7raw,56
