stamp,sd_system_warning,sd_system_failure,sd_brake_warning1,sd_brake_warning2,sd_brake_warning3,sd_steer_warning1,sd_steer_warning2,sd_steer_warning3,motec_warning,est1_oos_front_brk,est2_oos_rear_brk,est3_low_eng_speed,est4_sd_comms_loss,est5_motec_comms_loss,est6_sd_ebrake,adlink_hb_lost,rc_lost
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=51937764)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=71942462)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=81873154)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=94531752)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=101948621)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=111935810)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=122095879)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=142460684)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=152309911)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=162324311)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=171937464)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=181869352)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=192002385)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=201927593)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=211987219)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=221948358)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=231962128)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=241931289)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=251989459)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=261986769)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=272527111)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=281855553)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=291883518)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=302685452)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311901660)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=321942132)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=331972483)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=341938671)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=351885940)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=362702604)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=371947189)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=381965110)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=391956184)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401968706)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=412523279)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=422811959)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431991228)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451942136)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461929892)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471981548)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481987169)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=492074641)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=502222820)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511969844)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521939268)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531954901)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541951563)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551984498)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=562003470)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571944795)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=582256820)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591883008)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=602049318)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611881724)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621866042)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631896588)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=641988735)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=651918070)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=661905946)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=671885494)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=681883614)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=691939315)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=702768187)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=712015100)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=722010972)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=731875788)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741944761)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751857070)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762376456)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771861919)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781951778)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=792000822)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802397047)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811996110)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821979933)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831988583)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841969215)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852412418)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861950697)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874738156)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902189556)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=912040641)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=922085082)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932285885)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942266777)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951895832)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961929908)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971943574)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981933480)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991888209)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1968628)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21954952)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31986588)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41980101)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51934681)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61959404)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=72026090)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81900230)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91881576)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101932832)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111965144)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121928083)",False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
