stamp,marelli_track_flag,marelli_vehicle_flag,marelli_sector_flag,marelli_rc_base_sync_check,marelli_rc_lte_rssi
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=92777224)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=103037279)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=112807112)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=122786093)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=132781218)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=142814177)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=152768985)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=162798663)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=172816657)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=182782519)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=195827892)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=202786680)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=212796029)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=222808734)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=232810887)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=242780528)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254739614)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263259425)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=272755388)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=282769731)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=292774415)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=302783078)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=312768277)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=322762272)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=332786994)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342779497)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=352765040)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=362758867)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=372759789)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=382782716)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=392785137)",1,0,0,True,-32.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=402778620)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=412762667)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=422799237)",1,0,0,True,-41.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=432816640)",1,0,0,True,-41.0
