stamp,fl_tire_temp_04,fl_tire_temp_03,fl_tire_temp_02,fl_tire_temp_01
"builtin_interfaces.msg.Time(sec=1751477622, nanosec=746795759)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=746862501)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=746862501)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=746862501)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=746862501)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477623, nanosec=746862501)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=746845377)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=746845377)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=746845377)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=746845377)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477624, nanosec=746845377)",24.30000000000001,24.400000000000006,24.30000000000001,26.200000000000003
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=746898292)",23.900000000000006,23.200000000000003,22.900000000000006,23.400000000000006
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=746898292)",23.900000000000006,23.200000000000003,22.900000000000006,23.400000000000006
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=746898292)",23.900000000000006,23.200000000000003,22.900000000000006,23.400000000000006
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=746898292)",23.900000000000006,23.200000000000003,22.900000000000006,23.400000000000006
"builtin_interfaces.msg.Time(sec=1751477625, nanosec=746898292)",23.900000000000006,23.200000000000003,22.900000000000006,23.400000000000006
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=746875794)",24.700000000000003,23.700000000000003,23.5,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=746875794)",24.700000000000003,23.700000000000003,23.5,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=746875794)",24.700000000000003,23.700000000000003,23.5,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=746875794)",24.700000000000003,23.700000000000003,23.5,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477626, nanosec=746875794)",24.700000000000003,23.700000000000003,23.5,24.10000000000001
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=746866582)",23.700000000000003,22.5,21.700000000000003,23.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=746866582)",23.700000000000003,22.5,21.700000000000003,23.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=746866582)",23.700000000000003,22.5,21.700000000000003,23.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=746866582)",23.700000000000003,22.5,21.700000000000003,23.0
"builtin_interfaces.msg.Time(sec=1751477627, nanosec=746866582)",23.700000000000003,22.5,21.700000000000003,23.0
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747737837)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747737837)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747737837)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747737837)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
"builtin_interfaces.msg.Time(sec=1751477628, nanosec=747737837)",23.400000000000006,23.30000000000001,23.10000000000001,24.5
