stamp,throttle_position,current_gear,engine_speed_rpm,vehicle_speed_kmph,engine_run_switch,engine_state,gear_shift_status
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381840409)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391864851)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401824998)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=411894056)",5.800000000000001,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421858672)",5.9,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431854643)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441824756)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454451555)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462425892)",5.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471822729)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481861336)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491935427)",5.9,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=501840687)",5.7,1,759.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511821560)",5.1000000000000005,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521829005)",4.9,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531833125)",4.7,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541840494)",4.7,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=551816546)",4.800000000000001,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=561823327)",5.4,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=571838017)",6.1000000000000005,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=581909308)",6.4,1,755.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=591908457)",7.5,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=601898353)",9.0,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=612252812)",9.200000000000001,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622102222)",9.5,1,743.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=631920342)",10.100000000000001,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=642531362)",10.5,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=654615765)",11.4,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=661920271)",12.5,1,735.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=671901169)",12.9,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=682608046)",13.3,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694487266)",14.3,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=701881664)",15.100000000000001,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712230854)",16.7,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=721868629)",17.5,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=732911436)",18.7,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741854812)",19.3,1,719.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=751844252)",19.400000000000002,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=761849192)",19.6,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=771850236)",19.6,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=782813793)",19.700000000000003,1,751.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=791871096)",19.6,1,846.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=802240766)",19.8,1,846.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=814371145)",19.8,1,846.0,0.0,True,True,2
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=821849089)",19.8,1,989.0,0.0,True,True,2
