stamp,engine_oil_temperature,torque_wheels,driver_traction_aim_switch_fbk,driver_traction_range_switch_fbk
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902091990)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911962340)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=922007708)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932208884)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942173328)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951861074)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961865577)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971891285)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981871100)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991834143)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1904587)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=11929453)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21892248)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31923520)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41913881)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51871461)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61911900)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71991214)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=82754228)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91844298)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101895089)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111907106)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121871437)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=131894812)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141920450)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151885366)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161866063)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171896556)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181909390)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191896794)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=201870338)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211866353)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221905898)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231900592)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=242039172)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254567086)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263082108)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271837394)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=281819374)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=292016443)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=302035923)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=312055547)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321840761)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331882219)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342363206)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351860020)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=361854548)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371849867)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381859324)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391884062)",29.0,0.0,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401844451)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=411912971)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421878659)",29.0,-8.700000000000001,0,0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431874165)",29.0,0.0,0,0
