stamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431044256)",0.0,0.0,0.0,-0.017052778974175453,-0.006187245715409517,0.5943876504898071,0.8039740324020386
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441044488)",0.0,0.0,0.0,-0.017047155648469925,-0.00617419695481658,0.5943818092346191,0.8039785623550415
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451048072)",0.0,0.0,0.0,-0.01703016832470894,-0.006196425762027502,0.5943724513053894,0.8039856553077698
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461048864)",0.0,0.0,0.0,-0.017008978873491287,-0.006183954421430826,0.5943698287010193,0.8039882183074951
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471050376)",0.0,0.0,0.0,-0.01703610271215439,-0.006177885923534632,0.5943732857704163,0.8039851784706116
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481049096)",0.0,0.0,0.0,-0.017038891091942787,-0.006144347600638866,0.5943640470504761,0.8039921522140503
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491051680)",0.0,0.0,0.0,-0.01703699119389057,-0.006152729038149118,0.5943535566329956,0.8039999008178711
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501053472)",0.0,0.0,0.0,-0.017013585194945335,-0.00614378834143281,0.5943544507026672,0.8039997816085815
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511054240)",0.0,0.0,0.0,-0.017043396830558777,-0.00614898419007659,0.5943644046783447,0.8039917349815369
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521053960)",0.0,0.0,0.0,-0.01705196686089039,-0.006112905219197273,0.5943601131439209,0.8039949536323547
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531057544)",0.0,0.0,0.0,-0.017046233639121056,-0.006129437126219273,0.5943539142608643,0.8039995431900024
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541059080)",0.0,0.0,0.0,-0.01701265573501587,-0.0061380015686154366,0.5943530797958374,0.8040008544921875
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551059848)",0.0,0.0,0.0,-0.017043838277459145,-0.006137917283922434,0.5943616032600403,0.8039938807487488
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561059080)",0.0,0.0,0.0,-0.0170561783015728,-0.006110928487032652,0.5943579077720642,0.8039966225624084
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571062664)",0.0,0.0,0.0,-0.017041629180312157,-0.006111909169703722,0.5943484306335449,0.804003894329071
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581064200)",0.0,0.0,0.0,-0.01700136996805668,-0.00612858310341835,0.594342827796936,0.8040087819099426
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591064968)",0.0,0.0,0.0,-0.01702408492565155,-0.0061325570568442345,0.5943487882614136,0.8040038347244263
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601063688)",0.0,0.0,0.0,-0.017021650448441505,-0.006105819717049599,0.5943441390991211,0.8040075302124023
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611067272)",0.0,0.0,0.0,-0.017010310664772987,-0.006110532209277153,0.5943307280540466,0.8040176033973694
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=621069064)",0.0,0.0,0.0,-0.016954826191067696,-0.006124930456280708,0.5943257212638855,0.8040224313735962
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=631069576)",0.0,0.0,0.0,-0.016987480223178864,-0.006133023649454117,0.5943326950073242,0.8040164709091187
