stamp,motor_duty_cycle_cmd,motor_duty_cycle_fbk,motor_current_fbk,sbw_ecu_voltage,sbw_ecu_temp,sbw_error_code,sbw_motor_torque_estimate
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351757826)",100.0,100.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=360940943)",100.0,100.0,27.0,14.0,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371750904)",100.0,100.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381756968)",100.0,100.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391779922)",88.0,100.0,27.0,14.100000000000001,30.0,0,24.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401746477)",67.0,88.0,26.0,14.0,30.0,0,23.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=410944090)",57.0,67.0,24.0,14.3,30.0,0,21.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421780072)",55.0,57.0,22.0,14.200000000000001,30.0,0,19.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431777365)",61.0,55.0,21.0,14.200000000000001,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441747498)",49.0,61.0,20.0,14.100000000000001,30.0,0,17.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454380573)",-100.0,49.0,19.0,14.3,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462344067)",25.0,-99.0,21.0,13.700000000000001,30.0,0,18.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471745740)",-22.0,24.0,19.0,14.200000000000001,30.0,0,16.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481786913)",-9.0,-20.0,17.0,14.100000000000001,30.0,0,14.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491788624)",-2.0,-7.0,16.0,14.4,30.0,0,13.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511745044)",11.0,8.0,13.0,14.200000000000001,30.0,0,10.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521750004)",11.0,11.0,12.0,14.200000000000001,30.0,0,9.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531752810)",5.0,4.0,11.0,14.4,30.0,0,8.0
