stamp,position_x,position_y,position_z,rpy_x,rpy_y,rpy_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,slip_angle_x,slip_angle_y,slip_angle_z,slip_angle_front,slip_angle_rear,trust,status
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=539509739)",-98.72879918798836,-402.67734074446315,0.0,0.0,0.0,-1.4154074897953728,15.077576346480148,0.04552017230056359,0.0,-1.8479850364889427,3.165093551306897,0.0,0.0,0.0,0.22423430666288824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=549625292)",-98.70405934289815,-402.82850698115044,0.0,0.0,0.0,-1.4131910467300974,15.063994624457283,0.047070445839713405,0.0,-1.9709378625688168,3.3061405404731943,0.0,0.0,0.0,0.2250788899313465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=560334422)",-98.66574667737565,-403.0130260396591,0.0,0.0,0.0,-1.410937231552012,15.084585039893534,0.06009580453147872,0.0,-2.172105852608647,3.313816938420358,0.0,0.0,0.0,0.23072505715719452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=569717210)",-98.64114187500519,-403.16185290361,0.0,0.0,0.0,-1.408598750919164,15.063378271685787,0.057121584874848766,0.0,-2.13473010827602,3.230079031370902,0.0,0.0,0.0,0.23384806328479513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=579662828)",-98.61537717523217,-403.31234761575604,0.0,0.0,0.0,-1.406283818657077,15.045875966929497,0.055015122002758286,0.0,-2.284300661469981,3.0948659789676944,0.0,0.0,0.0,0.23469676594130306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=589614963)",-98.58928127719237,-403.4626708406381,0.0,0.0,0.0,-1.4039839205898068,15.024828168713235,0.053752777540941585,0.0,-2.6483782216988114,3.1484744017736817,0.0,0.0,0.0,0.2332333650546842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=599946967)",-98.56148406485212,-403.61685380887496,0.0,0.0,0.0,-1.4016907845081252,15.008120470887802,0.055898561343555905,0.0,-2.6748508713581205,3.3640523777209506,0.0,0.0,0.0,0.23281857175073561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=609863277)",-98.52244599215791,-403.7966930553848,0.0,0.0,0.0,-1.3994303023679484,15.02026034897005,0.0708362075122706,0.0,-2.678348065971862,3.605824926478901,0.0,0.0,0.0,0.2320933449475987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=620019776)",-98.49517312566681,-403.94682169919815,0.0,0.0,0.0,-1.3971408144739306,15.00119456132593,0.07600707990030693,0.0,-2.528546625365804,3.772301209611236,0.0,0.0,0.0,0.23242495576638297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477888, nanosec=629820131)",-98.46756491085235,-404.0965626017348,0.0,0.0,0.0,-1.3948348179155847,14.981949628725513,0.08313525429023642,0.0,-2.508486135043039,3.992398588953252,0.0,0.0,0.0,0.23390650815389358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
