stamp,engine_oil_pressure,fuel_pressure,coolant_temperature,transmission_temperature,transmission_pressure
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=741813848)",307.6,526.4,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=751778057)",307.6,528.6,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=762242565)",307.6,507.40000000000003,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=771784267)",307.6,506.3,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=781818830)",307.6,527.1,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=791877968)",307.6,533.1,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=802264922)",307.6,508.5,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=811839949)",307.6,506.70000000000005,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=821850268)",307.6,526.8000000000001,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=831848493)",308.1,530.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=841818175)",308.1,508.90000000000003,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=852328775)",308.1,506.3,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=861819774)",308.1,526.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=874576701)",308.1,530.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=881839534)",308.1,508.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=891817340)",308.1,506.70000000000005,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=902008593)",308.1,525.7,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=911879851)",308.1,532.4,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=921885985)",308.1,509.3,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=932126099)",307.90000000000003,506.70000000000005,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=942066342)",307.90000000000003,524.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=951821069)",307.90000000000003,533.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=961801588)",307.90000000000003,509.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=971800644)",307.90000000000003,506.3,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=981802931)",307.90000000000003,523.4,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=991791711)",307.90000000000003,534.6,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=1817167)",307.90000000000003,509.3,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=11871782)",307.90000000000003,506.3,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=21823922)",307.90000000000003,524.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=31855614)",307.20000000000005,534.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=41850590)",307.20000000000005,509.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=51800710)",307.20000000000005,506.70000000000005,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=61843830)",307.20000000000005,524.2,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=71950155)",307.20000000000005,535.7,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=81830606)",307.20000000000005,510.8,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=91801655)",307.20000000000005,506.70000000000005,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=101852487)",307.20000000000005,523.8000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=111840887)",307.20000000000005,534.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=121804315)",307.20000000000005,510.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=131828869)",307.1,506.3,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=141852721)",307.1,524.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=151820439)",307.1,534.2,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=161800553)",307.1,509.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=171802287)",307.1,507.0,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=181842967)",307.1,524.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=191831281)",307.1,536.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=201803638)",307.1,510.0,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=211801396)",307.1,505.90000000000003,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=221840385)",307.1,523.8000000000001,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=231836784)",307.3,534.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=241971544)",307.3,510.0,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=254501358)",307.3,506.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263012856)",307.3,523.4,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=271796068)",307.3,536.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=281777538)",307.3,509.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=291973770)",307.3,505.90000000000003,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=301993679)",307.3,527.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=312011800)",307.3,534.2,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=321798608)",307.3,509.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=331839747)",307.90000000000003,506.70000000000005,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=342321950)",307.90000000000003,525.3000000000001,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=351816151)",307.90000000000003,533.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=361811388)",307.90000000000003,510.40000000000003,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=371807110)",307.90000000000003,506.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=381816676)",307.90000000000003,524.2,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=391841844)",307.90000000000003,533.9,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=401802101)",307.90000000000003,509.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=411870627)",307.90000000000003,506.70000000000005,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421835155)",307.90000000000003,526.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431832117)",308.5,533.1,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441802584)",308.5,508.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454429822)",308.5,506.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462403398)",308.5,528.6,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471800295)",308.5,533.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481838577)",308.5,508.5,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491894265)",308.5,506.3,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=501817316)",308.5,528.6,37.0,0.0,6339.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511798884)",308.5,529.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521806277)",308.5,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531810138)",309.5,507.8,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541817052)",309.5,529.4,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=551794260)",309.5,528.6,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=561801038)",309.5,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=571815587)",309.5,507.40000000000003,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=581886717)",309.5,530.1,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=591885335)",309.5,529.4,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=601876187)",309.5,508.5,37.0,0.0,6338.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=612016287)",309.5,507.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622079273)",309.5,527.5,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=631898255)",310.8,526.4,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=642505755)",310.8,508.90000000000003,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=654577247)",310.8,508.90000000000003,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=661882020)",310.8,521.2,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=671861197)",310.8,533.9,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=682568311)",310.8,509.3,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694465251)",310.8,507.40000000000003,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=701860276)",310.8,518.9,37.0,0.0,6340.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712209959)",310.8,535.0,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=721844829)",310.8,510.8,37.0,0.0,3276.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=732887040)",309.90000000000003,508.1,37.0,0.0,6338.0
