stamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=401035808)",-0.0014428140129894018,0.004174933768808842,0.001694834791123867,-0.005739669781178236,0.002430509077385068,-0.003696051426231861
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=411040392)",-0.001945895841345191,0.0024615726433694363,-0.0011285513173788786,0.010813690721988678,-0.0017003918765112758,0.0017124653095379472
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=421041928)",-0.002495819702744484,-0.0002271176635986194,-0.002680526813492179,0.014919877983629704,0.0028605307452380657,0.0006767438026145101
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=431044256)",-0.00020050059538334608,-0.0010744233150035143,0.0008233150001615286,-0.0037311953492462635,-0.008416484110057354,-0.006628070026636124
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=441044488)",-0.0011487809242680669,0.004128063563257456,0.0037293198984116316,-0.007724934257566929,0.00017854655743576586,-0.0037672794423997402
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=451048072)",-0.002549985656514764,0.002516545355319977,-0.0002084222505800426,0.009736176580190659,-0.0010281549766659737,0.003936050459742546
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=461048864)",-0.004707425367087126,-6.331142503768206e-05,-0.0028851618990302086,0.01781763695180416,0.0015675878385081887,0.0047380030155181885
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=471050376)",-0.0012490702793002129,-0.002178502967581153,-8.925789006752893e-05,-0.002697101328521967,-0.005498969461768866,-0.0032702377066016197
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=481049096)",-0.0015484192408621311,0.0032895044423639774,0.0022440822795033455,-0.013017444871366024,0.0020567546598613262,-0.002356248442083597
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=491051680)",-0.0032236024271696806,0.002581872744485736,-0.0013287937035784125,0.0042519839480519295,0.0030401707626879215,0.0034087009262293577
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=501053472)",-0.004957145545631647,0.0006750953034497797,-0.0040597072802484035,0.018220696598291397,-0.0016580495284870267,0.002870423486456275
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=511054240)",-0.002597711281850934,-0.0024828934110701084,-5.208886068430729e-05,-0.0009280594531446695,-0.010826696641743183,-0.0052397595718503
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=521053960)",-0.005629498511552811,0.007801157422363758,0.0028682432603091,-0.012009917758405209,-0.0035802838392555714,-0.0048383185639977455
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=531057544)",-0.0030326389241963625,0.0036911731585860252,-0.0010649734176695347,0.0004338903818279505,-0.0018104984192177653,0.002464909106492996
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=541059080)",-0.004920411854982376,0.0017283792840316892,-0.004372354596853256,0.019068945199251175,-0.003960751462727785,0.005253136623650789
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=551059848)",-0.0019447185331955552,-0.0013124747201800346,-0.0009697854984551668,0.002459950279444456,-0.007461692672222853,-0.0016527170082554221
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=561059080)",0.0009492520475760102,0.0033846653532236814,0.0016327883349731565,-0.011491060256958008,-0.002450033091008663,-0.003664769697934389
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=571062664)",-0.0011289329268038273,0.004612702410668135,-5.86410315008834e-05,-0.0028834554832428694,0.0031602864619344473,0.0024449878837913275
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=581064200)",-0.003699800930917263,0.002494113752618432,-0.0035500815138220787,0.018998274579644203,-0.005840900354087353,0.00527790654450655
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=591064968)",-0.002337476471439004,-0.0008480515680275857,6.737351213814691e-05,0.002513330429792404,-0.011367452330887318,-2.5529414415359497e-05
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=601063688)",0.0004717741394415498,0.002951765898615122,0.0018961505265906453,-0.009795621037483215,-0.003169827861711383,-0.002271139994263649
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=611067272)",-0.0018611667910590768,0.004464619792997837,-0.0006384799489751458,-0.005500863306224346,0.000866044545546174,0.0034215201158076525
