stamp,f_brk_pos_cmd,f_brk_pos_fbk,r_brk_pos_cmd,r_brk_pos_fbk
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=411827367)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=421798683)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=431795938)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=441767037)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=454396403)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=462361136)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=471764464)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=481804010)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=491828195)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=511763778)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=521770997)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=531773893)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=541780563)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=551759124)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=561765991)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=571780484)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=581851228)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=591849672)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=601841430)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=611979847)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=622043729)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=631863108)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=642450844)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=654517390)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=661820861)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=671798665)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=682506609)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694429429)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=701826893)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=712175974)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=721808985)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=732850529)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=741795241)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=751784678)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=761788123)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=771788948)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=782747064)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=791812441)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=802181361)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=814312888)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=821790037)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=831830606)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=841786677)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=854389786)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=861785312)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=871816125)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=891786009)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=906432476)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=911816566)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=922349043)",7500.0,2400.0,7500.0,2400.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=931793672)",7500.0,2400.0,7500.0,2400.0
