stamp,frame_id,child_frame_id,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,rot_w
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=209917682)",world,ego_car,122.9876100136287,142.0255497011422,0.0,-0.0,0.0,0.929630220847974,-0.3684937618008576
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=220873765)",world,ego_car,122.98759235518865,142.02551106496944,0.0,-0.0,0.0,0.9296251180484687,-0.3685066348023745
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=230148072)",world,ego_car,122.98757498210574,142.0254729242397,0.0,-0.0,0.0,0.9296177700487538,-0.3685251709308095
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=240113987)",world,ego_car,122.98751553678092,142.02555644960202,0.0,-0.0,0.0,0.9296099662309589,-0.3685448557286825
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=250190886)",world,ego_car,122.98740304221886,142.02524382141107,0.0,-0.0,0.0,0.9296049513356117,-0.3685575049463991
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=260169240)",world,ego_car,122.98738493496829,142.0252048058101,0.0,-0.0,0.0,0.9295965418314741,-0.3685787153580147
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=270307190)",world,ego_car,122.98736712057762,142.0251662920836,0.0,-0.0,0.0,0.9295902369503567,-0.3685946165729768
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=279938978)",world,ego_car,122.98734959602835,142.02512827759358,0.0,-0.0,0.0,0.9295851722025974,-0.3686073895367094
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=290317577)",world,ego_car,122.98729475651407,142.02519729772825,0.0,-0.0,0.0,0.9295806464707234,-0.36861880270419217
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=300334638)",world,ego_car,122.98727710671452,142.02516133624476,0.0,-0.0,0.0,0.9295753441795334,-0.3686321737091081
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=311057277)",world,ego_car,122.98670058546793,142.02516956826886,0.0,-0.0,0.0,0.9295691206537338,-0.3686478671131086
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=320161359)",world,ego_car,122.98667731528523,142.02513544999678,0.0,-0.0,0.0,0.9295629283968454,-0.368663480901325
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=329941746)",world,ego_car,122.98665439374136,142.025101788296,0.0,-0.0,0.0,0.9295558573261568,-0.36868130968443974
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=340014456)",world,ego_car,122.98659960775564,142.02516294065435,0.0,-0.0,0.0,0.9295509107011076,-0.36869378136163594
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=349881118)",world,ego_car,122.986545104703,142.02486483034525,0.0,-0.0,0.0,0.9295498897656335,-0.3686963553341675
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=359919157)",world,ego_car,122.98652225985637,142.0248299301145,0.0,-0.0,0.0,0.9295487996278564,-0.3686991037559099
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=369965224)",world,ego_car,122.98649975870956,142.02479549146645,0.0,-0.0,0.0,0.9295482905986395,-0.36870038709655195
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=380192183)",world,ego_car,122.98647759814519,142.0247615117716,0.0,-0.0,0.0,0.9295473306138949,-0.3687028073510999
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=390324257)",world,ego_car,122.98641469177812,142.0248254284835,0.0,-0.0,0.0,0.929546610492771,-0.3687046228641577
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=400195095)",world,ego_car,122.9863924934766,142.02479332572176,0.0,-0.0,0.0,0.9295463201158919,-0.3687053549367081
