stamp,latitude,longitude,altitude,status,service,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_9,position_covariance_type
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=530906248)",36.58774182118921,-121.75527248700642,199.31683887932923,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=540903968)",36.587741820573086,-121.75527248774483,199.3168330999033,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=550908808)",36.587741820185634,-121.75527248862274,199.316822695655,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=560909600)",36.587741819792676,-121.75527248948823,199.31682828333214,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=570911368)",36.587741819241806,-121.75527249000311,199.31684217081056,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=580910344)",36.58774181846488,-121.7552724903,199.31686731968875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=590913928)",36.58774181754455,-121.75527249060555,199.31688009015852,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=600914720)",36.58774181674094,-121.75527249091192,199.31687661051546,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=610916744)",36.58774181619617,-121.75527249153077,199.316885486096,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=620915720)",36.58774181556496,-121.75527249189676,199.31691442469673,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=630919304)",36.58774181495384,-121.75527249239022,199.31695951137726,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=680924960)",36.58774181209876,-121.75527249409376,199.316961011471,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=690925728)",36.58774181160643,-121.75527249428708,199.31696316949456,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=700924704)",36.58774181132961,-121.75527249469069,199.3169467701082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"builtin_interfaces.msg.Time(sec=1751477600, nanosec=710928288)",36.58774181447669,-121.75527250727968,199.3170699022594,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
